id,hometown,habit,age,gender,result
55,Ca Mau,marathon,23,male,no
56,Ha Noi,badminton,21,male,yes
57,Vinh,volleyball,23,female,no
58,Vinh,football,21,male,yes
59,Ha Noi,badminton,23,female,no
60,Vinh Phuc,marathon,23,female,yes
61,Hai Duong,football,23,female,yes
62,Vinh,marathon,21,male,no
63,Hai Duong,football,19,male,yes
64,Vinh,volleyball,18,male,no
65,Ca Mau,badminton,18,female,yes
66,Hai Phong,volleyball,23,male,no
67,Binh Duong,badminton,21,female,no
68,Vinh Phuc,badminton,22,male,no
69,Hai Duong,football,20,male,yes
70,Binh Duong,football,23,male,yes
71,Binh Duong,marathon,22,female,yes
72,Vinh,marathon,21,male,no
73,Ca Mau,badminton,20,female,yes
74,Binh Duong,football,23,male,no
75,Hai Phong,badminton,20,male,no
76,Hai Phong,volleyball,19,female,no
77,Ha Noi,badminton,18,male,no
78,Hai Duong,volleyball,18,male,yes
79,Ha Noi,football,23,female,yes
80,Vinh Phuc,marathon,21,female,no
81,Hai Phong,volleyball,20,male,yes
82,Vinh,marathon,21,female,yes
83,Ha Noi,football,23,male,no
84,Ca Mau,marathon,19,male,no
85,Hai Phong,volleyball,22,female,no
86,Hai Phong,badminton,21,male,yes
87,Hai Duong,volleyball,23,male,yes
88,Ha Noi,badminton,23,female,yes
89,Hai Phong,football,21,female,yes
90,Binh Duong,football,19,male,yes
91,Vinh Phuc,volleyball,23,female,no
92,Binh Duong,football,20,male,no
93,Ca Mau,volleyball,22,female,yes
94,Ca Mau,badminton,22,female,no
95,Ha Noi,football,23,male,yes
96,Binh Duong,marathon,18,male,yes
97,Ha Noi,marathon,22,male,yes
98,Vinh,volleyball,21,female,yes
99,Hai Duong,volleyball,22,male,yes
100,Vinh Phuc,marathon,18,male,yes
101,Binh Duong,football,19,female,no
102,Hai Phong,marathon,18,male,yes
103,Hai Phong,marathon,23,female,no
104,Vinh,football,19,male,yes
105,Vinh,marathon,20,male,no
106,Vinh,marathon,23,male,yes
107,Ca Mau,badminton,21,female,no
108,Binh Duong,football,23,male,no
109,Binh Duong,football,21,male,yes
110,Hai Duong,marathon,22,female,no
111,Ha Noi,football,23,male,yes
112,Binh Duong,badminton,20,male,yes
113,Vinh,football,19,female,no
114,Hai Duong,badminton,22,female,yes
115,Ca Mau,volleyball,23,female,no
116,Ca Mau,marathon,22,female,no
117,Vinh Phuc,volleyball,18,male,yes
118,Hai Duong,badminton,21,female,no
119,Ha Noi,badminton,19,female,no
120,Hai Duong,badminton,19,male,no
121,Hai Duong,volleyball,23,female,no
122,Ca Mau,marathon,20,female,yes
123,Hai Duong,marathon,23,female,yes
124,Hai Phong,volleyball,20,male,no
125,Hai Phong,marathon,18,male,yes
126,Ha Noi,volleyball,23,male,no
127,Vinh,football,20,male,yes
128,Ca Mau,volleyball,18,female,yes
129,Ha Noi,badminton,22,female,no
130,Hai Duong,marathon,21,male,no
131,Ca Mau,volleyball,23,female,yes
132,Binh Duong,football,20,female,no
133,Ca Mau,badminton,19,male,no
134,Hai Phong,football,20,female,yes
135,Ha Noi,volleyball,23,male,yes
136,Hai Duong,badminton,20,male,yes
137,Ha Noi,football,20,female,yes
138,Hai Phong,volleyball,19,male,no
139,Ca Mau,marathon,19,male,no
140,Ha Noi,badminton,22,male,no
141,Ha Noi,football,18,female,yes
142,Binh Duong,football,23,male,yes
143,Vinh Phuc,marathon,20,male,yes
144,Hai Phong,volleyball,20,male,yes
145,Vinh Phuc,marathon,18,male,yes
146,Vinh,badminton,23,male,yes
147,Ha Noi,football,23,male,yes
148,Hai Duong,marathon,19,male,no
149,Hai Duong,volleyball,18,male,no
150,Ha Noi,volleyball,23,female,yes
151,Hai Phong,volleyball,23,male,no
152,Vinh Phuc,volleyball,19,male,no
153,Hai Phong,badminton,20,female,yes
154,Ca Mau,football,18,male,yes
155,Ha Noi,badminton,23,male,yes
156,Vinh,volleyball,23,female,yes
157,Binh Duong,badminton,22,male,yes
158,Hai Duong,badminton,18,male,yes
159,Hai Phong,football,23,male,no
160,Hai Phong,football,22,female,no
161,Vinh Phuc,football,23,male,no
162,Ha Noi,volleyball,23,female,yes
163,Vinh,volleyball,23,female,yes
164,Hai Phong,volleyball,21,male,yes
165,Hai Phong,badminton,23,male,yes
166,Binh Duong,football,23,female,yes
167,Hai Duong,badminton,18,female,no
168,Hai Duong,football,19,female,yes
169,Ha Noi,volleyball,23,male,no
170,Ha Noi,volleyball,19,female,yes
171,Ha Noi,marathon,19,female,no
172,Binh Duong,football,18,female,yes
173,Vinh,badminton,23,male,no
174,Hai Duong,football,18,male,yes
175,Vinh,volleyball,19,male,no
176,Vinh,badminton,23,male,no
177,Ha Noi,volleyball,18,female,yes
178,Ca Mau,badminton,23,male,no
179,Hai Duong,football,20,male,yes
180,Vinh Phuc,badminton,18,male,no
181,Hai Duong,badminton,23,male,yes
182,Ca Mau,marathon,21,male,yes
183,Vinh Phuc,volleyball,23,male,yes
184,Ha Noi,volleyball,22,male,no
185,Hai Duong,badminton,23,female,yes
186,Binh Duong,badminton,18,male,yes
187,Hai Phong,badminton,21,female,yes
188,Vinh Phuc,marathon,20,male,no
189,Hai Duong,badminton,21,female,no
190,Vinh,football,19,female,no
191,Vinh,marathon,23,male,no
192,Binh Duong,badminton,19,female,yes
193,Hai Duong,marathon,22,female,yes
194,Vinh Phuc,badminton,20,male,no
195,Binh Duong,volleyball,19,female,yes
196,Ca Mau,football,23,male,yes
197,Ca Mau,badminton,18,male,yes
198,Ca Mau,volleyball,21,female,yes
199,Vinh,football,20,female,yes
200,Hai Duong,volleyball,20,male,no
201,Vinh,football,21,male,no
202,Ha Noi,badminton,21,male,yes
203,Ha Noi,marathon,18,male,yes
204,Vinh,badminton,18,male,no
205,Binh Duong,marathon,20,female,no
206,Binh Duong,volleyball,19,female,no
207,Hai Phong,volleyball,20,male,no
208,Ha Noi,marathon,22,female,no
209,Vinh,badminton,21,female,no
210,Hai Duong,marathon,21,female,yes
211,Ca Mau,volleyball,19,female,yes
212,Vinh,marathon,18,male,no
213,Hai Phong,badminton,23,male,yes
214,Vinh,badminton,20,female,yes
215,Ha Noi,football,20,female,no
216,Ca Mau,volleyball,18,male,no
217,Vinh Phuc,volleyball,19,male,yes
218,Hai Phong,volleyball,18,female,no
219,Hai Phong,football,23,male,no
220,Binh Duong,badminton,22,male,yes
221,Vinh Phuc,volleyball,22,female,yes
222,Vinh Phuc,volleyball,21,male,no
223,Hai Duong,marathon,20,female,yes
224,Ca Mau,football,19,male,no
225,Hai Phong,badminton,23,female,yes
226,Hai Phong,volleyball,23,male,no
227,Hai Duong,badminton,22,female,yes
228,Hai Duong,badminton,22,male,no
229,Hai Phong,marathon,18,male,no
230,Hai Phong,volleyball,20,female,no
231,Ha Noi,football,18,female,no
232,Hai Phong,marathon,18,male,no
233,Ha Noi,football,18,female,no
234,Hai Phong,badminton,23,female,yes
235,Ha Noi,badminton,20,male,no
236,Binh Duong,volleyball,19,male,no
237,Hai Phong,marathon,19,female,yes
238,Hai Duong,football,19,male,yes
239,Vinh Phuc,volleyball,19,male,yes
240,Binh Duong,badminton,20,female,yes
241,Hai Phong,marathon,21,female,no
242,Hai Phong,marathon,22,female,no
243,Ca Mau,football,18,female,yes
244,Hai Phong,badminton,23,male,no
245,Hai Phong,marathon,23,male,yes
246,Vinh Phuc,football,18,male,no
247,Ca Mau,volleyball,20,female,yes
248,Hai Phong,football,18,female,yes
249,Vinh,football,18,male,no
250,Ha Noi,football,23,male,no
251,Ca Mau,marathon,18,female,yes
252,Vinh,badminton,18,male,yes
253,Hai Phong,football,21,male,yes
254,Vinh,football,21,female,yes
255,Vinh,volleyball,22,male,no
256,Binh Duong,volleyball,19,female,yes
257,Hai Phong,football,19,female,no
258,Ha Noi,marathon,22,male,no
259,Ha Noi,badminton,21,female,no
260,Ca Mau,marathon,20,male,no
261,Vinh,volleyball,20,female,yes
262,Hai Phong,marathon,18,female,no
263,Binh Duong,football,21,female,yes
264,Hai Duong,badminton,22,female,yes
265,Hai Duong,marathon,20,male,no
266,Hai Phong,football,21,male,no
267,Ca Mau,football,22,male,no
268,Binh Duong,football,23,male,no
269,Binh Duong,volleyball,20,female,yes
270,Hai Duong,volleyball,19,female,no
271,Vinh Phuc,badminton,22,female,yes
272,Hai Phong,marathon,19,female,no
273,Hai Phong,badminton,23,female,yes
274,Vinh,volleyball,22,female,no
275,Hai Duong,marathon,19,male,yes
276,Binh Duong,marathon,20,female,no
277,Hai Duong,badminton,22,male,no
278,Hai Phong,football,18,female,yes
279,Hai Phong,volleyball,18,male,no
280,Hai Phong,football,22,male,yes
281,Vinh,volleyball,21,female,no
282,Hai Phong,marathon,22,female,no
283,Ca Mau,badminton,19,female,no
284,Hai Phong,football,21,male,no
285,Hai Phong,marathon,21,male,no
286,Vinh Phuc,marathon,23,male,no
287,Hai Duong,marathon,22,male,yes
288,Ca Mau,marathon,22,female,no
289,Vinh Phuc,badminton,18,male,yes
290,Ca Mau,badminton,18,male,no
291,Hai Duong,volleyball,20,female,yes
292,Binh Duong,volleyball,18,male,yes
293,Binh Duong,football,22,female,no
294,Hai Duong,badminton,19,female,yes
295,Binh Duong,badminton,20,male,no
296,Ha Noi,football,23,female,no
297,Ca Mau,football,22,male,no
298,Ca Mau,badminton,19,male,yes
299,Vinh Phuc,football,22,male,yes
300,Ca Mau,football,20,female,yes
301,Ca Mau,marathon,18,female,yes
302,Hai Phong,badminton,23,male,yes
303,Hai Duong,badminton,22,female,yes
304,Hai Phong,badminton,18,male,no
305,Ca Mau,football,21,female,yes
306,Hai Phong,marathon,18,female,no
307,Binh Duong,marathon,19,male,yes
308,Vinh Phuc,volleyball,19,female,yes
309,Vinh Phuc,badminton,20,male,no
310,Ca Mau,volleyball,18,female,yes
311,Ca Mau,football,21,female,no
312,Hai Duong,badminton,20,female,yes
313,Ha Noi,badminton,23,male,no
314,Binh Duong,football,19,female,yes
315,Binh Duong,badminton,20,male,yes
316,Ha Noi,football,22,female,yes
317,Ha Noi,football,22,male,yes
318,Hai Phong,marathon,18,female,yes
319,Hai Phong,marathon,19,female,no
320,Hai Duong,marathon,20,male,yes
321,Ha Noi,badminton,19,male,no
322,Vinh,volleyball,22,male,yes
323,Vinh Phuc,volleyball,23,male,yes
324,Hai Duong,volleyball,18,female,no
325,Hai Duong,football,18,female,yes
326,Ca Mau,football,23,male,no
327,Ha Noi,football,22,male,yes
328,Vinh,volleyball,19,male,yes
329,Hai Duong,volleyball,23,female,no
330,Vinh,badminton,19,male,no
331,Ha Noi,football,20,male,no
332,Ca Mau,football,18,male,yes
333,Ca Mau,football,19,male,yes
334,Hai Phong,marathon,20,male,yes
335,Vinh,badminton,21,female,no
336,Ha Noi,marathon,19,male,yes
337,Vinh Phuc,volleyball,22,male,yes
338,Ca Mau,badminton,19,male,no
339,Ha Noi,volleyball,20,male,no
340,Vinh Phuc,volleyball,19,male,yes
341,Ca Mau,volleyball,23,male,yes
342,Ha Noi,marathon,20,male,yes
343,Hai Duong,volleyball,18,male,yes
344,Ca Mau,volleyball,22,female,no
345,Ha Noi,football,21,female,yes
346,Ha Noi,football,19,female,yes
347,Vinh,football,21,female,yes
348,Binh Duong,marathon,23,male,no
349,Hai Phong,marathon,23,male,no
350,Ca Mau,football,20,male,yes
351,Vinh,badminton,19,male,yes
352,Vinh,volleyball,18,female,no
353,Vinh Phuc,badminton,21,female,yes
354,Ca Mau,marathon,19,female,no
355,Hai Duong,volleyball,20,female,no
356,Hai Duong,football,21,male,yes
357,Hai Phong,marathon,19,male,no
358,Ha Noi,football,19,female,yes
359,Hai Duong,marathon,20,female,yes
360,Binh Duong,volleyball,19,male,no
361,Vinh,marathon,23,female,yes
362,Vinh Phuc,badminton,19,male,yes
363,Hai Phong,badminton,22,male,no
364,Vinh,volleyball,22,female,yes
365,Ca Mau,badminton,20,female,yes
366,Ha Noi,marathon,21,male,no
367,Ha Noi,badminton,22,female,yes
368,Binh Duong,volleyball,23,male,no
369,Vinh,badminton,21,male,yes
370,Hai Duong,volleyball,21,female,yes
371,Ca Mau,football,22,female,no
372,Ha Noi,football,21,male,no
373,Hai Phong,marathon,19,female,no
374,Hai Phong,marathon,21,male,no
375,Ha Noi,football,21,female,yes
376,Ca Mau,volleyball,18,male,no
377,Hai Phong,badminton,23,female,no
378,Ha Noi,badminton,19,female,yes
379,Ca Mau,volleyball,22,male,yes
380,Hai Phong,marathon,23,male,no
381,Ca Mau,volleyball,19,male,yes
382,Vinh Phuc,badminton,21,male,no
383,Ha Noi,badminton,18,male,yes
384,Hai Duong,marathon,21,female,yes
385,Ca Mau,badminton,23,male,yes
386,Ca Mau,badminton,18,male,yes
387,Ca Mau,marathon,18,male,yes
388,Vinh Phuc,marathon,20,female,yes
389,Hai Phong,marathon,22,male,no
390,Ha Noi,volleyball,19,male,yes
391,Hai Phong,badminton,21,female,no
392,Binh Duong,badminton,20,male,yes
393,Binh Duong,badminton,23,female,yes
394,Vinh Phuc,football,20,male,yes
395,Hai Duong,badminton,21,male,yes
396,Vinh Phuc,badminton,21,female,no
397,Binh Duong,badminton,22,male,no
398,Ha Noi,volleyball,21,female,yes
399,Vinh Phuc,marathon,18,female,yes
400,Ha Noi,marathon,21,male,no
401,Hai Duong,marathon,22,female,no
402,Ha Noi,marathon,20,female,no
403,Binh Duong,football,21,female,no
404,Hai Duong,volleyball,23,female,yes
405,Ha Noi,football,19,male,no
406,Ha Noi,marathon,18,female,yes
407,Vinh Phuc,football,21,female,no
408,Binh Duong,volleyball,18,female,yes
409,Ca Mau,volleyball,21,male,no
410,Hai Phong,marathon,21,male,no
411,Ca Mau,marathon,19,male,yes
412,Hai Phong,marathon,20,female,no
413,Hai Phong,football,18,male,yes
414,Vinh,marathon,23,male,no
415,Vinh Phuc,badminton,19,male,yes
416,Binh Duong,badminton,21,male,yes
417,Ca Mau,badminton,19,female,no
418,Vinh Phuc,volleyball,21,female,yes
419,Hai Phong,volleyball,19,female,no
420,Hai Phong,volleyball,21,female,yes
421,Vinh Phuc,badminton,22,female,no
422,Vinh Phuc,volleyball,18,female,yes
423,Vinh Phuc,football,18,female,yes
424,Hai Phong,football,20,female,yes
425,Vinh Phuc,badminton,23,male,yes
426,Binh Duong,volleyball,20,male,no
427,Ca Mau,badminton,23,female,no
428,Ca Mau,volleyball,19,female,no
429,Hai Duong,football,18,male,no
430,Ha Noi,marathon,23,female,yes
431,Ca Mau,volleyball,20,male,yes
432,Ca Mau,football,18,male,no
433,Vinh,football,20,female,no
434,Binh Duong,marathon,21,female,no
435,Ha Noi,badminton,22,male,yes
436,Ha Noi,marathon,18,female,yes
437,Ha Noi,marathon,19,male,yes
438,Vinh Phuc,badminton,18,male,yes
439,Vinh,volleyball,19,female,no
440,Vinh,badminton,22,male,yes
441,Vinh Phuc,football,22,female,no
442,Hai Duong,volleyball,18,female,no
443,Hai Duong,volleyball,18,female,yes
444,Hai Phong,football,19,female,no
445,Hai Phong,football,22,female,no
446,Ha Noi,football,23,female,no
447,Vinh,football,19,female,yes
448,Ha Noi,football,19,female,yes
449,Hai Duong,football,19,female,yes
450,Hai Duong,badminton,22,female,yes
451,Hai Phong,marathon,20,female,yes
452,Binh Duong,volleyball,22,male,no
453,Hai Duong,marathon,21,female,yes
454,Vinh Phuc,football,18,female,yes
455,Hai Duong,badminton,23,male,no
456,Hai Phong,football,19,female,no
457,Vinh,volleyball,19,female,no
458,Vinh Phuc,badminton,18,male,yes
459,Ha Noi,marathon,22,female,yes
460,Vinh Phuc,football,22,female,no
461,Vinh,marathon,21,male,yes
462,Ca Mau,volleyball,23,female,no
463,Vinh,football,18,male,yes
464,Ca Mau,badminton,20,female,no
465,Ha Noi,badminton,23,male,no
466,Hai Phong,football,22,male,no
467,Hai Duong,marathon,23,male,yes
468,Vinh Phuc,marathon,18,male,yes
469,Ca Mau,marathon,19,male,yes
470,Vinh Phuc,football,20,female,yes
471,Ha Noi,marathon,19,female,yes
472,Hai Phong,badminton,20,female,yes
473,Hai Phong,marathon,22,female,yes
474,Hai Duong,volleyball,23,female,yes
475,Ha Noi,badminton,18,male,no
476,Hai Duong,badminton,19,female,no
477,Vinh Phuc,marathon,20,male,no
478,Vinh,football,21,female,no
479,Hai Duong,volleyball,20,male,no
480,Vinh Phuc,badminton,18,male,yes
481,Hai Phong,volleyball,19,female,no
482,Hai Phong,football,20,female,yes
483,Hai Phong,football,19,male,yes
484,Binh Duong,badminton,19,female,no
485,Vinh Phuc,volleyball,21,female,no
486,Binh Duong,football,18,male,yes
487,Ca Mau,volleyball,18,male,yes
488,Hai Duong,volleyball,22,male,no
489,Vinh Phuc,marathon,23,male,yes
490,Vinh,marathon,21,male,yes
491,Hai Duong,volleyball,23,female,yes
492,Binh Duong,badminton,22,male,yes
493,Hai Phong,volleyball,20,male,yes
494,Ca Mau,football,21,male,yes
495,Vinh Phuc,badminton,21,female,no
496,Vinh Phuc,badminton,22,female,yes
497,Vinh Phuc,marathon,22,male,yes
498,Hai Phong,marathon,18,male,yes
499,Ha Noi,football,18,female,yes
500,Ha Noi,volleyball,22,female,yes
501,Hai Phong,marathon,18,female,yes
502,Vinh Phuc,badminton,23,male,yes
503,Hai Phong,marathon,18,male,yes
504,Hai Duong,marathon,18,female,no
505,Ca Mau,marathon,18,male,no
506,Hai Phong,football,22,male,yes
507,Vinh Phuc,football,19,female,yes
508,Binh Duong,marathon,22,male,yes
509,Vinh Phuc,badminton,20,female,no
510,Binh Duong,volleyball,19,female,no
511,Ha Noi,football,23,female,yes
512,Ca Mau,volleyball,21,female,no
513,Binh Duong,badminton,22,female,no
514,Hai Phong,volleyball,20,female,no
515,Ha Noi,badminton,22,female,yes
516,Binh Duong,marathon,20,female,no
517,Vinh Phuc,football,23,male,yes
518,Vinh,football,19,male,no
519,Vinh,football,20,female,no
520,Hai Phong,football,23,male,no
521,Hai Phong,marathon,21,female,no
522,Hai Duong,volleyball,23,female,no
523,Binh Duong,marathon,20,female,no
524,Vinh,marathon,21,male,yes
525,Hai Duong,badminton,19,female,yes
526,Binh Duong,football,20,female,yes
527,Binh Duong,volleyball,23,female,no
528,Binh Duong,marathon,20,male,no
529,Hai Phong,badminton,23,male,yes
530,Vinh Phuc,badminton,18,female,no
531,Hai Phong,football,20,female,no
532,Vinh,marathon,18,male,yes
533,Binh Duong,football,22,female,yes
534,Vinh Phuc,volleyball,19,male,yes
535,Hai Duong,football,22,male,yes
536,Hai Phong,football,20,male,yes
537,Ha Noi,football,21,female,yes
538,Hai Duong,volleyball,20,female,yes
539,Hai Phong,marathon,22,female,yes
540,Binh Duong,badminton,20,female,no
541,Ca Mau,football,23,male,yes
542,Vinh Phuc,football,21,female,no
543,Binh Duong,football,20,male,yes
544,Ca Mau,badminton,21,female,yes
545,Hai Phong,marathon,19,male,yes
546,Vinh,football,20,female,yes
547,Hai Duong,volleyball,19,male,no
548,Vinh,volleyball,18,male,no
549,Vinh Phuc,volleyball,19,female,yes
550,Ha Noi,football,21,female,yes
551,Vinh,football,21,female,yes
552,Ca Mau,badminton,19,female,no
553,Ca Mau,marathon,18,male,no
554,Vinh Phuc,volleyball,23,male,no
555,Hai Phong,marathon,22,male,yes
556,Hai Duong,badminton,18,female,yes
557,Ca Mau,badminton,19,male,yes
558,Hai Phong,volleyball,19,female,no
559,Vinh,badminton,18,male,yes
560,Hai Duong,volleyball,21,female,yes
561,Binh Duong,marathon,23,female,yes
562,Ca Mau,marathon,19,male,yes
563,Vinh,volleyball,21,female,yes
564,Ha Noi,badminton,20,male,yes
565,Ha Noi,football,20,female,no
566,Binh Duong,badminton,21,male,no
567,Vinh,football,21,male,no
568,Hai Duong,badminton,18,male,yes
569,Binh Duong,badminton,21,male,yes
570,Hai Duong,volleyball,19,female,yes
571,Vinh Phuc,badminton,18,female,yes
572,Vinh Phuc,badminton,22,male,no
573,Binh Duong,football,20,female,yes
574,Vinh,marathon,19,female,yes
575,Vinh,badminton,21,female,no
576,Hai Phong,marathon,19,male,no
577,Hai Duong,volleyball,23,male,no
578,Ca Mau,volleyball,22,female,no
579,Hai Duong,volleyball,19,male,no
580,Hai Duong,volleyball,23,female,yes
581,Binh Duong,marathon,21,female,yes
582,Binh Duong,volleyball,18,male,yes
583,Vinh Phuc,marathon,20,female,no
584,Hai Phong,volleyball,19,female,yes
585,Hai Phong,football,18,female,no
586,Vinh,volleyball,21,male,yes
587,Hai Duong,badminton,18,female,no
588,Binh Duong,volleyball,23,female,no
589,Hai Phong,marathon,22,male,no
590,Vinh Phuc,badminton,21,male,no
591,Ca Mau,volleyball,22,female,no
592,Vinh Phuc,volleyball,18,male,yes
593,Vinh,badminton,21,female,no
594,Hai Phong,volleyball,19,male,no
595,Hai Duong,football,23,male,no
596,Hai Phong,marathon,18,male,yes
597,Hai Phong,football,18,female,no
598,Hai Phong,marathon,21,female,yes
599,Ha Noi,badminton,21,female,no
600,Ca Mau,marathon,19,female,no
601,Hai Duong,football,22,male,yes
602,Vinh Phuc,badminton,19,female,yes
603,Vinh Phuc,badminton,18,male,yes
604,Ha Noi,volleyball,23,female,no
605,Ca Mau,football,19,male,yes
606,Hai Phong,badminton,18,female,no
607,Vinh Phuc,marathon,22,male,yes
608,Binh Duong,badminton,20,male,yes
609,Ca Mau,marathon,19,female,no
610,Binh Duong,football,20,female,yes
611,Hai Duong,badminton,21,female,no
612,Hai Duong,badminton,21,male,yes
613,Ca Mau,football,22,female,no
614,Ca Mau,football,20,male,yes
615,Vinh Phuc,badminton,23,female,no
616,Ca Mau,badminton,22,female,yes
617,Hai Duong,marathon,23,female,yes
618,Ha Noi,football,23,female,no
619,Hai Duong,volleyball,19,female,no
620,Ha Noi,marathon,21,male,yes
621,Binh Duong,football,19,male,no
622,Ha Noi,badminton,18,male,yes
623,Ca Mau,football,20,female,yes
624,Ca Mau,marathon,22,female,yes
625,Vinh,badminton,19,female,no
626,Hai Duong,volleyball,20,male,yes
627,Hai Duong,volleyball,18,female,no
628,Hai Duong,badminton,21,female,yes
629,Vinh Phuc,badminton,19,female,no
630,Vinh Phuc,volleyball,20,female,no
631,Ca Mau,marathon,23,male,yes
632,Vinh,badminton,21,male,yes
633,Ca Mau,marathon,20,male,no
634,Hai Duong,marathon,23,male,yes
635,Vinh,badminton,21,male,yes
636,Ha Noi,volleyball,18,female,yes
637,Vinh Phuc,football,18,female,no
638,Vinh Phuc,volleyball,19,male,no
639,Vinh Phuc,marathon,22,male,no
640,Vinh Phuc,volleyball,20,female,no
641,Ca Mau,volleyball,21,male,yes
642,Hai Phong,football,18,female,yes
643,Hai Phong,football,18,female,no
644,Hai Phong,marathon,20,male,no
645,Binh Duong,badminton,21,female,yes
646,Ca Mau,marathon,22,female,yes
647,Hai Phong,volleyball,20,female,yes
648,Vinh,football,18,male,yes
649,Binh Duong,volleyball,23,female,yes
650,Hai Duong,marathon,20,female,no
651,Vinh,marathon,23,female,no
652,Vinh Phuc,marathon,18,female,yes
653,Binh Duong,marathon,20,male,no
654,Ha Noi,badminton,23,male,no
655,Vinh Phuc,badminton,20,male,no
656,Binh Duong,volleyball,20,male,yes
657,Hai Phong,football,22,female,no
658,Binh Duong,marathon,18,male,no
659,Ca Mau,football,23,male,yes
660,Vinh Phuc,volleyball,18,female,no
661,Hai Duong,volleyball,18,female,no
662,Ca Mau,football,22,female,yes
663,Hai Duong,badminton,23,female,no
664,Vinh Phuc,football,18,male,yes
665,Hai Duong,marathon,20,female,no
666,Vinh,badminton,19,female,yes
667,Hai Phong,badminton,21,female,no
668,Ca Mau,volleyball,21,male,yes
669,Vinh,badminton,18,male,yes
670,Hai Duong,football,22,male,no
671,Hai Phong,volleyball,21,male,yes
672,Hai Duong,volleyball,20,male,no
673,Hai Phong,football,23,female,no
674,Binh Duong,volleyball,18,female,yes
675,Hai Duong,marathon,23,female,no
676,Ca Mau,football,21,female,yes
677,Hai Duong,badminton,21,male,yes
678,Ha Noi,volleyball,22,female,no
679,Hai Phong,football,21,male,yes
680,Vinh Phuc,marathon,23,male,no
681,Binh Duong,marathon,18,male,no
682,Hai Phong,volleyball,22,male,no
683,Ca Mau,badminton,20,male,no
684,Hai Duong,football,19,male,no
685,Vinh,football,19,male,no
686,Binh Duong,volleyball,18,male,no
687,Vinh,badminton,20,female,yes
688,Hai Duong,volleyball,20,male,no
689,Ha Noi,volleyball,18,male,yes
690,Vinh Phuc,football,19,female,no
691,Vinh Phuc,football,23,male,no
692,Hai Duong,marathon,20,male,no
693,Hai Duong,volleyball,21,male,yes
694,Hai Phong,marathon,19,male,yes
695,Hai Phong,badminton,18,male,no
696,Vinh,football,22,male,no
697,Ha Noi,volleyball,23,male,no
698,Binh Duong,badminton,20,male,no
699,Vinh,badminton,19,female,yes
700,Ha Noi,marathon,19,male,yes
701,Ha Noi,badminton,23,female,yes
702,Ha Noi,volleyball,23,female,yes
703,Vinh Phuc,volleyball,23,male,yes
704,Binh Duong,volleyball,20,female,no
705,Vinh,marathon,18,male,no
706,Vinh Phuc,football,22,female,no
707,Vinh Phuc,football,21,male,yes
708,Ha Noi,marathon,19,female,no
709,Binh Duong,football,18,male,no
710,Vinh,marathon,22,male,no
711,Vinh,football,20,male,no
712,Binh Duong,football,20,female,yes
713,Hai Phong,marathon,23,female,yes
714,Hai Duong,volleyball,22,male,no
715,Vinh Phuc,football,20,male,yes
716,Vinh Phuc,football,19,male,yes
717,Hai Duong,badminton,18,male,yes
718,Ca Mau,marathon,23,female,yes
719,Hai Phong,badminton,18,female,no
720,Vinh,football,19,female,no
721,Ha Noi,football,19,female,yes
722,Vinh Phuc,marathon,20,male,no
723,Binh Duong,football,23,male,no
724,Vinh Phuc,marathon,22,male,no
